Epics,Name,Progress,Tasks
1,Requirements Analysis,1,Analyse & Understand the Requirements (https://www.notion.so/Analyse-Understand-the-Requirements-1e2bf8a827df8146a8dce92a8b06a7c5?pvs=21)
2,Design Data Architecture,1,"Design the Layers (https://www.notion.so/Design-the-Layers-1e2bf8a827df8114b22be8921ffb0aa5?pvs=21), Draw the Data Architecture (Draw.io) (https://www.notion.so/Draw-the-Data-Architecture-Draw-io-1e2bf8a827df818d9788f957e204e6d6?pvs=21), Choose Data Management Approach (https://www.notion.so/Choose-Data-Management-Approach-1e2bf8a827df81f28aded6c0f047d2cd?pvs=21)"
3,Project Initialization,1,"Create Git Repo & Prepare The Repo Structure (https://www.notion.so/Create-Git-Repo-Prepare-The-Repo-Structure-1e2bf8a827df81dcb358db7028a511bc?pvs=21), Create Database & Schemas (https://www.notion.so/Create-Database-Schemas-1e2bf8a827df8141917bf8344a14bb01?pvs=21), Create Detailed Project Tasks (Notion) (https://www.notion.so/Create-Detailed-Project-Tasks-Notion-1e2bf8a827df81f6a31eed04c0b95d33?pvs=21)"
4,Build Bronze Layer,1,"Analysing: Source Systems (https://www.notion.so/Analysing-Source-Systems-1e2bf8a827df81cf968deb345d2f752c?pvs=21), Coding: Data Ingestion (https://www.notion.so/Coding-Data-Ingestion-1e2bf8a827df81b9b4d0ea2abe38a6dc?pvs=21), Validating: Data Completeness & Schema Checks (https://www.notion.so/Validating-Data-Completeness-Schema-Checks-1e2bf8a827df814fbbd9e59297b801bf?pvs=21), Document: Draw Data Flow (Draw.io) (https://www.notion.so/Document-Draw-Data-Flow-Draw-io-1e2bf8a827df819cb891dc4d763af194?pvs=21), Commit Code in Git Repo (https://www.notion.so/Commit-Code-in-Git-Repo-1e2bf8a827df813fb192f146a9d711d2?pvs=21)"
5,Build Silver Layer,1,"Analysing: Explore & Understand Data (https://www.notion.so/Analysing-Explore-Understand-Data-1e2bf8a827df81ed9302d14e53eb8b01?pvs=21), Document: Draw Data Integration (Draw.io) (https://www.notion.so/Document-Draw-Data-Integration-Draw-io-1e2bf8a827df814fa884ca74dd6a112d?pvs=21), Validating: Data Correctness Checks (https://www.notion.so/Validating-Data-Correctness-Checks-1e2bf8a827df8188a75cdc0f5b30ce0f?pvs=21), Document: Extend Data Flow (Draw.io) (https://www.notion.so/Document-Extend-Data-Flow-Draw-io-1e2bf8a827df81689d43c76c50343b63?pvs=21), Commit Code in Git Repo (https://www.notion.so/Commit-Code-in-Git-Repo-1e2bf8a827df81e9a669eb6dab697867?pvs=21), Coding: Data Cleansing (https://www.notion.so/Coding-Data-Cleansing-1e2bf8a827df813cb38ddda2452fd953?pvs=21)"
6,Build Gold Layer,1,"Analysing: Explore Business Objects (https://www.notion.so/Analysing-Explore-Business-Objects-1e2bf8a827df81dd8770dbb369fe313b?pvs=21), Coding: Data Integration (https://www.notion.so/Coding-Data-Integration-1e2bf8a827df81de984bc54f33187134?pvs=21), Validating: Data Integration Checks (https://www.notion.so/Validating-Data-Integration-Checks-1e2bf8a827df817ab315ef320b00024f?pvs=21), Document: Draw Data Model of Star Schema (Draw.io) (https://www.notion.so/Document-Draw-Data-Model-of-Star-Schema-Draw-io-1e2bf8a827df81669601d9e3237aadc7?pvs=21), Commit Code in Git Repo (https://www.notion.so/Commit-Code-in-Git-Repo-1e2bf8a827df8129b569f6594cbba5bd?pvs=21), Document: Create Data Catalog (https://www.notion.so/Document-Create-Data-Catalog-1e2bf8a827df8181beb8f4955582092d?pvs=21), Document: Extend Data Flow (Draw.io) (https://www.notion.so/Document-Extend-Data-Flow-Draw-io-1e2bf8a827df81589a56db4b51b4a836?pvs=21)"
